order_id,customer_id,order_date,status,shipping_cost,coupon_code,payment_method
78,12,2024-01-06,paid,1.17,,card
79,46,2024-01-06,shipped,7.5,FREESHIP,paypal
80,15,2024-01-06,cancelled,5.23,,card
81,6,2024-01-06,delivered,0.3,NEW10,upi
82,39,2024-01-06,paid,18.15,SAVE5,paypal
83,11,2024-01-06,paid,0.54,,upi
84,5,2024-01-06,delivered,15.24,,card
85,49,2024-01-07,delivered,5.89,NEW10,paypal
86,50,2024-01-07,cancelled,10.07,NEW10,card
87,37,2024-01-07,delivered,3.41,,upi
88,38,2024-01-07,paid,16.64,NEW10,upi
89,45,2024-01-07,shipped,2.09,NEW10,cod
90,28,2024-01-07,delivered,0.5,,cod
91,38,2024-01-07,paid,3.11,FREESHIP,cod
92,22,2024-01-07,shipped,17.7,,upi
93,21,2024-01-08,cancelled,5.17,,upi
94,10,2024-01-08,delivered,14.67,FREESHIP,cod
95,3,2024-01-08,placed,17.09,FREESHIP,upi
96,43,2024-01-08,delivered,17.6,SAVE5,upi
97,41,2024-01-08,delivered,17.89,,paypal
98,27,2024-01-08,shipped,13.22,,cod
99,3,2024-01-08,paid,4.36,,cod
100,14,2024-01-08,delivered,10.24,NEW10,cod
101,18,2024-01-08,shipped,1.23,,paypal
102,14,2024-01-08,paid,18.59,,upi
103,46,2024-01-08,shipped,5.07,FREESHIP,upi
104,10,2024-01-08,delivered,17.09,,card
105,15,2024-01-09,paid,9.04,,upi
106,6,2024-01-09,delivered,8.77,,card
107,10,2024-01-09,delivered,4.93,,card
108,30,2024-01-09,shipped,8.38,,upi
109,31,2024-01-09,shipped,17.95,,upi
110,17,2024-01-09,shipped,16.53,NEW10,cod
111,46,2024-01-09,paid,11.73,,card
112,39,2024-01-09,delivered,1.2,SAVE5,paypal
113,36,2024-01-09,delivered,17.25,,paypal
114,32,2024-01-10,shipped,0.79,,paypal
115,14,2024-01-10,delivered,12.54,FREESHIP,card
116,14,2024-01-10,delivered,2.58,,cod
117,46,2024-01-10,placed,1.21,SAVE5,card
118,44,2024-01-10,paid,19.33,,cod
119,49,2024-01-10,shipped,5.85,,cod
120,45,2024-01-11,placed,5.26,FREESHIP,upi
121,36,2024-01-11,shipped,7.63,,cod
122,15,2024-01-11,shipped,10.42,NEW10,cod
123,50,2024-01-11,shipped,2.98,,paypal
124,2,2024-01-11,paid,10.39,,card
125,37,2024-01-11,paid,18.51,NEW10,paypal
126,3,2024-01-11,paid,19.89,FREESHIP,card
127,24,2024-01-11,delivered,9.17,,paypal
128,21,2024-01-11,shipped,12.81,SAVE5,paypal
129,3,2024-01-11,delivered,18.82,,card
130,7,2024-01-11,paid,15.1,,cod
131,10,2024-01-11,delivered,17.84,FREESHIP,upi
132,40,2024-01-11,delivered,17.77,,paypal
133,41,2024-01-11,placed,19.45,NEW10,upi
134,18,2024-01-12,shipped,4.94,,cod
135,36,2024-01-12,shipped,5.72,NEW10,upi
136,11,2024-01-12,placed,14.53,NEW10,upi
137,9,2024-01-12,shipped,15.79,SAVE5,cod
138,18,2024-01-12,shipped,2.76,,upi
139,12,2024-01-12,paid,12.25,,cod
140,23,2024-01-12,paid,16.84,FREESHIP,card
141,43,2024-01-12,paid,3.72,NEW10,card
142,34,2024-01-12,delivered,19.37,,card
143,47,2024-01-13,shipped,10.27,SAVE5,upi
144,40,2024-01-13,paid,2.05,NEW10,card
145,2,2024-01-13,delivered,12.74,FREESHIP,upi
146,8,2024-01-13,paid,17.69,SAVE5,upi
147,45,2024-01-13,shipped,16.79,SAVE5,card
148,36,2024-01-13,placed,10.35,NEW10,upi
149,9,2024-01-13,shipped,7.94,FREESHIP,card
150,18,2024-01-13,delivered,16.13,,card
151,8,2024-01-14,placed,19.18,SAVE5,cod
152,8,2024-01-14,shipped,17.7,FREESHIP,cod
153,13,2024-01-14,shipped,7.34,SAVE5,cod
154,11,2024-01-14,delivered,4.77,SAVE5,cod
155,43,2024-01-14,placed,7.76,FREESHIP,cod
156,27,2024-01-14,paid,7.05,,cod
157,18,2024-01-14,delivered,12.15,FREESHIP,paypal
158,29,2024-01-14,paid,10.74,,paypal
159,37,2024-01-14,delivered,6.0,SAVE5,cod
160,15,2024-01-14,placed,7.49,FREESHIP,upi
161,11,2024-01-15,shipped,7.33,,cod
162,12,2024-01-15,placed,11.3,,cod
163,12,2024-01-15,shipped,11.06,NEW10,upi
164,40,2024-01-15,shipped,16.01,,cod
165,18,2024-01-15,delivered,17.19,SAVE5,card
166,49,2024-01-15,cancelled,8.79,SAVE5,upi
167,1,2024-01-15,delivered,16.32,NEW10,paypal
168,11,2024-01-16,shipped,3.73,NEW10,paypal
169,30,2024-01-16,paid,4.74,,cod
170,46,2024-01-16,paid,3.93,SAVE5,upi
171,29,2024-01-16,delivered,18.84,NEW10,paypal
172,1,2024-01-16,shipped,1.72,,upi
173,5,2024-01-16,delivered,1.76,NEW10,upi
174,27,2024-01-16,placed,14.08,FREESHIP,upi
175,11,2024-01-16,shipped,15.14,,paypal
176,37,2024-01-16,delivered,11.4,SAVE5,cod
177,21,2024-01-16,paid,18.29,,paypal
178,44,2024-01-17,delivered,8.57,SAVE5,upi
179,4,2024-01-17,paid,6.94,,upi
180,33,2024-01-17,delivered,2.66,NEW10,cod
181,41,2024-01-17,delivered,10.97,,upi
182,45,2024-01-17,paid,19.26,,cod
183,17,2024-01-17,paid,9.78,FREESHIP,paypal
184,42,2024-01-18,paid,2.77,,card
185,21,2024-01-18,shipped,12.95,NEW10,cod
186,16,2024-01-18,placed,2.14,FREESHIP,card
187,39,2024-01-18,shipped,1.6,,upi
188,13,2024-01-18,paid,7.45,,paypal
189,5,2024-01-18,shipped,13.32,,upi
190,30,2024-01-18,shipped,10.69,,paypal
191,22,2024-01-18,shipped,12.67,,upi
192,29,2024-01-18,shipped,2.29,,upi
193,38,2024-01-18,shipped,17.03,,paypal
194,35,2024-01-18,paid,19.2,SAVE5,paypal
195,4,2024-01-18,shipped,0.94,,card
196,24,2024-01-18,delivered,6.83,,cod
197,47,2024-01-19,shipped,16.33,NEW10,card
198,45,2024-01-19,shipped,16.76,SAVE5,paypal
199,8,2024-01-19,placed,5.17,,cod
200,10,2024-01-19,shipped,9.68,,card
201,11,2024-01-19,delivered,8.97,,card
202,11,2024-01-19,delivered,14.54,NEW10,paypal
203,39,2024-01-19,placed,2.92,,cod
204,50,2024-01-19,shipped,11.44,,cod
205,33,2024-01-19,delivered,4.9,SAVE5,paypal
206,23,2024-01-19,paid,4.11,FREESHIP,paypal
207,13,2024-01-19,shipped,1.6,,cod
208,2,2024-01-19,delivered,12.53,,card
209,42,2024-01-19,placed,4.83,,upi
210,21,2024-01-19,paid,14.99,FREESHIP,paypal
211,21,2024-01-19,shipped,19.75,,paypal
212,23,2024-01-19,shipped,11.77,SAVE5,upi
213,9,2024-01-20,paid,11.16,,cod
214,40,2024-01-20,paid,1.2,SAVE5,upi
215,32,2024-01-20,paid,18.25,FREESHIP,paypal
216,42,2024-01-20,delivered,13.48,NEW10,card
217,2,2024-01-20,paid,5.25,FREESHIP,upi
218,20,2024-01-20,delivered,9.97,SAVE5,upi
219,21,2024-01-20,delivered,11.95,FREESHIP,upi
220,20,2024-01-20,paid,14.72,,upi
221,41,2024-01-20,delivered,0.76,SAVE5,upi
222,15,2024-01-20,delivered,2.96,SAVE5,card
223,3,2024-01-20,paid,0.96,SAVE5,cod
224,48,2024-01-20,delivered,7.99,NEW10,paypal
225,47,2024-01-20,shipped,4.82,,card
226,45,2024-01-21,shipped,13.7,FREESHIP,cod
227,46,2024-01-21,placed,19.52,NEW10,cod
228,49,2024-01-21,paid,18.17,FREESHIP,cod
229,43,2024-01-21,shipped,12.81,,cod
230,43,2024-01-21,placed,7.91,FREESHIP,card
231,24,2024-01-21,shipped,16.03,NEW10,card
232,6,2024-01-21,shipped,9.87,,upi
233,46,2024-01-21,shipped,7.34,NEW10,paypal
234,22,2024-01-21,delivered,1.6,FREESHIP,paypal
235,31,2024-01-21,paid,1.3,FREESHIP,paypal
236,35,2024-01-21,placed,13.6,SAVE5,cod
237,37,2024-01-21,shipped,16.48,,cod
238,22,2024-01-21,paid,19.64,,cod
239,25,2024-01-21,delivered,17.13,NEW10,cod
240,43,2024-01-21,shipped,11.68,NEW10,cod
241,37,2024-01-21,delivered,0.71,,paypal
242,14,2024-01-21,placed,8.67,,card
243,32,2024-01-22,paid,14.41,NEW10,upi
244,46,2024-01-22,delivered,13.72,,card
245,21,2024-01-22,delivered,14.39,NEW10,cod
246,10,2024-01-22,delivered,4.47,SAVE5,card
247,8,2024-01-22,placed,7.04,,card
248,20,2024-01-22,shipped,10.81,,upi
249,38,2024-01-22,shipped,19.35,NEW10,upi
250,29,2024-01-22,shipped,6.59,NEW10,upi
251,47,2024-01-22,shipped,1.91,SAVE5,card
252,33,2024-01-22,shipped,8.26,,paypal
253,16,2024-01-23,paid,9.92,SAVE5,card
254,19,2024-01-23,shipped,4.07,,upi
255,28,2024-01-23,shipped,10.36,NEW10,card
256,16,2024-01-23,shipped,15.68,,upi
257,3,2024-01-23,paid,15.46,,cod
258,3,2024-01-23,placed,4.9,SAVE5,upi
259,44,2024-01-23,paid,19.52,,paypal
260,49,2024-01-23,delivered,1.25,,cod
261,28,2024-01-24,shipped,12.8,SAVE5,cod
262,43,2024-01-24,delivered,15.87,NEW10,paypal
263,31,2024-01-24,shipped,12.1,FREESHIP,upi
264,22,2024-01-24,placed,5.42,FREESHIP,paypal
265,23,2024-01-24,delivered,12.2,FREESHIP,cod
266,43,2024-01-24,paid,7.05,,paypal
267,18,2024-01-24,cancelled,7.24,FREESHIP,card
268,48,2024-01-24,shipped,18.96,FREESHIP,upi
269,13,2024-01-24,shipped,11.54,,paypal
270,36,2024-01-24,cancelled,12.98,FREESHIP,paypal
271,34,2024-01-25,delivered,1.23,NEW10,upi
272,20,2024-01-25,delivered,9.49,SAVE5,cod
273,29,2024-01-25,shipped,8.17,,cod
274,31,2024-01-25,delivered,16.96,FREESHIP,card
275,3,2024-01-25,shipped,13.96,NEW10,cod
276,50,2024-01-25,shipped,16.83,NEW10,paypal
277,44,2024-01-25,placed,8.26,SAVE5,card
278,3,2024-01-25,delivered,16.42,FREESHIP,cod
279,50,2024-01-25,delivered,16.48,NEW10,upi
280,2,2024-01-25,delivered,1.44,NEW10,upi
281,18,2024-01-25,shipped,19.55,SAVE5,card
282,15,2024-01-26,paid,18.73,NEW10,upi
283,50,2024-01-26,paid,16.22,NEW10,paypal
284,43,2024-01-26,delivered,19.91,NEW10,cod
285,22,2024-01-26,delivered,2.24,,cod
286,50,2024-01-26,paid,11.21,NEW10,card
287,20,2024-01-26,paid,14.79,NEW10,paypal
288,22,2024-01-26,paid,3.08,FREESHIP,paypal
289,31,2024-01-26,delivered,19.53,,cod
290,9,2024-01-26,placed,4.28,SAVE5,paypal
291,50,2024-01-26,placed,17.78,SAVE5,card
292,25,2024-01-26,delivered,1.96,,upi
293,39,2024-01-26,paid,18.18,SAVE5,paypal
294,1,2024-01-26,shipped,15.76,,card
295,26,2024-01-26,paid,18.61,,card
296,33,2024-01-26,paid,10.2,FREESHIP,card
297,42,2024-01-26,delivered,10.05,SAVE5,card
298,26,2024-01-26,delivered,11.2,,card
299,8,2024-01-26,delivered,1.73,SAVE5,cod
300,6,2024-01-26,shipped,6.05,NEW10,upi
301,27,2024-01-26,delivered,11.49,,card
302,28,2024-01-27,delivered,1.1,SAVE5,cod
303,11,2024-01-27,cancelled,13.08,FREESHIP,cod
304,1,2024-01-27,delivered,15.5,NEW10,card
305,4,2024-01-27,delivered,10.77,FREESHIP,card
306,46,2024-01-27,paid,18.95,SAVE5,paypal
307,39,2024-01-27,placed,7.82,,card
308,24,2024-01-27,placed,11.15,FREESHIP,cod
309,22,2024-01-27,paid,4.12,FREESHIP,upi
310,43,2024-01-27,paid,12.5,,card
311,3,2024-01-28,paid,1.94,,paypal
312,18,2024-01-28,delivered,2.6,NEW10,cod
313,49,2024-01-28,shipped,15.3,,upi
314,1,2024-01-28,placed,13.27,NEW10,upi
315,26,2024-01-28,paid,9.59,,upi
316,4,2024-01-28,placed,4.45,,paypal
317,4,2024-01-28,paid,3.41,NEW10,upi
318,30,2024-01-28,delivered,9.22,,card
319,33,2024-01-28,placed,13.06,SAVE5,card
320,48,2024-01-28,placed,17.15,,upi
321,14,2024-01-29,delivered,5.7,,upi
322,24,2024-01-29,delivered,4.66,FREESHIP,cod
323,27,2024-01-29,paid,8.26,,cod
324,30,2024-01-29,shipped,10.96,FREESHIP,upi
325,21,2024-01-29,delivered,1.14,,paypal
326,48,2024-01-29,paid,18.84,FREESHIP,card
327,19,2024-01-29,placed,15.07,,upi
328,36,2024-01-29,paid,1.52,NEW10,paypal
329,17,2024-01-29,delivered,1.47,,paypal
330,44,2024-01-29,delivered,19.12,,paypal
331,48,2024-01-29,paid,14.71,NEW10,paypal
332,27,2024-01-29,delivered,9.39,FREESHIP,cod
333,36,2024-01-29,delivered,12.69,SAVE5,upi
334,1,2024-01-29,shipped,8.25,SAVE5,cod
335,6,2024-01-29,delivered,0.08,,upi
336,10,2024-01-29,shipped,1.47,NEW10,cod
337,6,2024-01-29,placed,1.05,NEW10,upi
338,19,2024-01-29,delivered,4.59,,paypal
339,46,2024-01-29,shipped,9.37,,card
340,34,2024-01-30,shipped,14.49,,upi
341,41,2024-01-30,delivered,9.08,,upi
342,30,2024-01-30,delivered,16.54,NEW10,paypal
343,33,2024-01-30,paid,3.51,,paypal
344,33,2024-01-30,delivered,17.4,FREESHIP,cod
345,25,2024-01-30,shipped,1.33,SAVE5,upi
346,6,2024-01-30,delivered,5.57,,upi
347,43,2024-01-30,placed,15.01,NEW10,paypal
348,39,2024-01-30,delivered,3.38,,paypal
349,15,2024-01-30,cancelled,12.08,NEW10,paypal
350,31,2024-01-30,delivered,13.91,SAVE5,cod
351,37,2024-01-30,paid,15.75,NEW10,card
352,18,2024-01-30,delivered,6.03,SAVE5,cod
353,20,2024-01-30,paid,13.12,FREESHIP,paypal
354,50,2024-01-30,paid,18.77,SAVE5,card
355,2,2024-01-30,paid,1.41,,paypal
356,20,2024-01-30,delivered,19.08,NEW10,paypal
357,38,2024-01-30,cancelled,17.92,,paypal
358,2,2024-01-31,delivered,8.59,,upi
359,22,2024-01-31,shipped,19.45,FREESHIP,card
360,2,2024-01-31,delivered,11.03,,cod
361,33,2024-01-31,placed,10.05,,paypal
362,28,2024-01-31,paid,13.75,SAVE5,cod
363,6,2024-01-31,delivered,16.05,,upi
364,28,2024-01-31,delivered,1.05,,paypal
365,44,2024-01-31,shipped,6.4,,upi
366,29,2024-01-31,placed,3.86,NEW10,card
367,11,2024-01-31,paid,7.04,FREESHIP,card
368,47,2024-01-31,shipped,10.18,FREESHIP,paypal
369,11,2024-01-31,shipped,8.05,,cod
370,21,2024-01-31,delivered,8.82,NEW10,cod
371,24,2024-01-31,delivered,12.57,,cod
372,4,2024-01-31,delivered,2.81,NEW10,upi
373,36,2024-01-31,shipped,19.47,,paypal
374,39,2024-01-31,paid,6.03,,card
375,30,2024-01-31,paid,3.62,SAVE5,cod
376,29,2024-02-01,paid,19.49,,upi
377,34,2024-02-01,delivered,18.11,FREESHIP,card
378,12,2024-02-01,delivered,3.13,,card
379,25,2024-02-01,paid,19.87,,card
380,49,2024-02-01,placed,8.56,,paypal
381,39,2024-02-01,delivered,8.84,NEW10,card
382,33,2024-02-01,delivered,19.96,FREESHIP,cod
383,41,2024-02-01,delivered,17.16,NEW10,card
384,39,2024-02-01,paid,2.73,,upi
385,41,2024-02-01,shipped,12.49,FREESHIP,upi
386,44,2024-02-01,placed,7.67,FREESHIP,paypal
387,37,2024-02-01,shipped,11.08,SAVE5,cod
388,32,2024-02-01,shipped,19.34,FREESHIP,upi
389,31,2024-02-02,delivered,12.68,SAVE5,upi
390,14,2024-02-02,shipped,4.12,SAVE5,card
391,44,2024-02-02,shipped,13.35,NEW10,card
392,37,2024-02-02,paid,3.58,,card
393,26,2024-02-02,cancelled,0.54,SAVE5,paypal
394,10,2024-02-02,shipped,17.42,,card
395,24,2024-02-02,delivered,11.03,NEW10,cod
396,20,2024-02-02,shipped,11.49,SAVE5,paypal
397,50,2024-02-02,placed,9.55,FREESHIP,paypal
398,39,2024-02-02,delivered,3.96,NEW10,card
399,33,2024-02-02,delivered,8.94,,upi
400,8,2024-02-02,cancelled,14.7,,card
401,26,2024-02-02,paid,13.39,FREESHIP,cod
402,22,2024-02-02,paid,13.23,NEW10,upi
403,5,2024-02-02,paid,1.41,SAVE5,upi
404,37,2024-02-02,delivered,5.84,SAVE5,paypal
405,38,2024-02-03,cancelled,14.39,,card
406,46,2024-02-03,delivered,3.24,FREESHIP,paypal
407,41,2024-02-03,delivered,13.18,NEW10,card
408,43,2024-02-03,paid,3.06,NEW10,card
409,34,2024-02-03,paid,14.55,,cod
410,43,2024-02-03,shipped,0.87,NEW10,cod
411,34,2024-02-03,shipped,14.09,SAVE5,paypal
412,24,2024-02-03,placed,7.21,,upi
413,28,2024-02-03,cancelled,10.5,NEW10,upi
414,18,2024-02-03,delivered,0.86,,cod
415,22,2024-02-04,placed,3.46,,paypal
416,17,2024-02-04,cancelled,7.84,,paypal
417,49,2024-02-04,paid,2.53,,upi
418,15,2024-02-04,shipped,15.45,NEW10,card
419,42,2024-02-04,delivered,1.8,FREESHIP,card
420,15,2024-02-04,paid,19.73,,paypal
421,36,2024-02-04,delivered,5.38,FREESHIP,paypal
422,15,2024-02-04,shipped,3.5,SAVE5,paypal
423,24,2024-02-04,placed,8.21,FREESHIP,cod
424,14,2024-02-04,paid,7.75,NEW10,cod
425,22,2024-02-04,delivered,2.28,,paypal
426,26,2024-02-04,placed,19.97,,paypal
427,25,2024-02-05,paid,19.21,FREESHIP,card
428,50,2024-02-05,paid,10.19,NEW10,cod
429,48,2024-02-05,delivered,11.33,NEW10,paypal
430,5,2024-02-05,paid,16.56,SAVE5,card
431,6,2024-02-05,delivered,13.77,SAVE5,upi
432,24,2024-02-06,placed,1.44,SAVE5,card
433,20,2024-02-06,delivered,18.11,,paypal
434,45,2024-02-06,shipped,7.53,FREESHIP,upi
435,26,2024-02-06,placed,1.9,FREESHIP,cod
436,32,2024-02-06,delivered,13.16,FREESHIP,upi
437,18,2024-02-06,paid,2.42,NEW10,paypal
438,30,2024-02-06,shipped,13.47,FREESHIP,upi
439,33,2024-02-06,delivered,6.36,FREESHIP,paypal
440,42,2024-02-06,shipped,16.74,,upi
441,7,2024-02-06,shipped,1.3,,cod
442,16,2024-02-06,paid,5.11,,cod
443,8,2024-02-06,paid,2.16,FREESHIP,card
444,42,2024-02-06,delivered,7.85,NEW10,paypal
445,38,2024-02-06,delivered,16.62,FREESHIP,cod
446,14,2024-02-06,shipped,11.5,,card
447,1,2024-02-07,paid,9.76,,upi
448,25,2024-02-07,shipped,6.5,SAVE5,upi
449,35,2024-02-07,delivered,3.25,,card
450,8,2024-02-07,shipped,6.0,FREESHIP,paypal
451,13,2024-02-07,paid,12.93,FREESHIP,paypal
452,28,2024-02-08,paid,5.46,,card
453,24,2024-02-08,paid,9.47,,card
454,13,2024-02-08,delivered,1.41,NEW10,paypal
455,39,2024-02-08,placed,2.24,FREESHIP,card
456,36,2024-02-08,paid,12.85,,card
457,39,2024-02-08,delivered,19.8,FREESHIP,cod
458,30,2024-02-08,paid,13.01,NEW10,card
459,26,2024-02-08,delivered,3.91,SAVE5,cod
460,16,2024-02-08,delivered,1.52,SAVE5,upi
461,35,2024-02-08,delivered,3.41,,upi
462,26,2024-02-09,delivered,18.98,,paypal
463,7,2024-02-09,shipped,8.39,SAVE5,card
464,3,2024-02-09,delivered,2.49,SAVE5,card
465,50,2024-02-09,delivered,6.72,FREESHIP,upi
466,17,2024-02-09,delivered,18.63,NEW10,cod
467,48,2024-02-09,delivered,17.85,,upi
468,31,2024-02-09,delivered,12.63,,card
469,31,2024-02-09,delivered,10.08,,paypal
470,22,2024-02-09,paid,9.83,FREESHIP,card
471,45,2024-02-09,shipped,7.47,,paypal
472,43,2024-02-09,paid,14.63,SAVE5,card
473,39,2024-02-10,delivered,13.3,NEW10,card
474,20,2024-02-10,shipped,18.57,SAVE5,paypal
475,21,2024-02-10,delivered,14.02,,card
476,48,2024-02-10,delivered,10.58,SAVE5,cod
477,2,2024-02-10,shipped,15.92,,card
478,22,2024-02-10,placed,7.59,NEW10,card
479,7,2024-02-11,delivered,3.64,FREESHIP,cod
480,44,2024-02-11,shipped,5.51,NEW10,upi
481,13,2024-02-11,delivered,15.33,NEW10,cod
482,35,2024-02-11,paid,2.13,NEW10,paypal
483,43,2024-02-11,shipped,2.51,FREESHIP,card
484,30,2024-02-11,shipped,13.99,,paypal
485,19,2024-02-11,delivered,4.28,NEW10,paypal
486,29,2024-02-11,delivered,5.13,NEW10,paypal
487,28,2024-02-11,paid,0.12,FREESHIP,cod
488,21,2024-02-11,shipped,9.36,SAVE5,paypal
489,14,2024-02-11,shipped,0.4,FREESHIP,upi
490,25,2024-02-11,paid,7.43,FREESHIP,paypal
491,43,2024-02-11,shipped,8.36,,upi
492,20,2024-02-12,delivered,17.78,,paypal
493,25,2024-02-12,paid,10.55,NEW10,cod
494,15,2024-02-12,paid,1.58,NEW10,card
495,49,2024-02-12,delivered,11.92,FREESHIP,card
496,36,2024-02-12,paid,4.61,NEW10,card
497,20,2024-02-12,shipped,11.45,,cod
498,23,2024-02-12,delivered,19.71,FREESHIP,card
499,35,2024-02-12,delivered,12.61,NEW10,paypal
500,21,2024-02-12,shipped,0.01,NEW10,cod
501,35,2024-02-12,shipped,3.68,,cod
502,24,2024-02-12,delivered,2.95,,cod
503,43,2024-02-12,delivered,19.13,,upi
504,47,2024-02-12,delivered,6.18,,cod
505,8,2024-02-12,shipped,8.54,,paypal
506,22,2024-02-12,delivered,4.88,NEW10,card
507,16,2024-02-12,paid,13.61,FREESHIP,cod
508,18,2024-02-13,paid,9.71,SAVE5,upi
509,9,2024-02-13,paid,11.65,NEW10,paypal
510,26,2024-02-13,paid,15.47,,paypal
511,10,2024-02-13,paid,15.67,NEW10,cod
512,3,2024-02-13,paid,12.51,FREESHIP,paypal
513,14,2024-02-13,delivered,13.55,FREESHIP,upi
514,46,2024-02-13,delivered,0.88,,card
515,14,2024-02-14,delivered,4.2,,card
516,45,2024-02-14,paid,15.42,,upi
517,35,2024-02-14,shipped,19.78,,upi
518,21,2024-02-14,paid,0.94,,card
519,43,2024-02-14,delivered,14.6,FREESHIP,cod
520,36,2024-02-14,delivered,16.09,,upi
521,49,2024-02-14,shipped,1.07,NEW10,paypal
522,39,2024-02-14,placed,0.34,,paypal
523,30,2024-02-14,delivered,18.2,,upi
524,4,2024-02-14,shipped,4.31,FREESHIP,paypal
525,29,2024-02-14,delivered,16.9,SAVE5,cod
526,17,2024-02-14,shipped,12.47,SAVE5,cod
527,36,2024-02-14,paid,17.27,SAVE5,upi
528,13,2024-02-14,shipped,17.53,NEW10,upi
529,34,2024-02-14,paid,4.14,NEW10,upi
530,12,2024-02-14,delivered,19.7,SAVE5,cod
531,5,2024-02-14,cancelled,1.83,,cod
532,37,2024-02-14,paid,10.57,SAVE5,paypal
533,3,2024-02-14,delivered,6.11,,paypal
534,18,2024-02-15,delivered,4.68,,card
535,37,2024-02-15,delivered,2.22,,card
536,30,2024-02-15,paid,7.45,,card
537,45,2024-02-15,cancelled,10.13,,paypal
538,11,2024-02-15,shipped,3.61,NEW10,paypal
539,6,2024-02-15,shipped,12.12,FREESHIP,card
540,12,2024-02-15,delivered,15.91,NEW10,cod
541,24,2024-02-15,paid,13.03,FREESHIP,paypal
542,46,2024-02-15,shipped,14.91,,cod
543,3,2024-02-15,placed,18.54,NEW10,upi
